querry,佐々木あき
count,150
offset,0
mkt,"('ja-JP',)"
safeSearch,Off
iteration,10
Num of Urls,1500
Next offset,1500
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=Rpjs-Hq14sPoqL_Ts8BwaXmpAQEoFV0qbDRQqs1uVwY&v=1&r=http%3a%2f%2feronetachannel.info%2fwp-content%2fuploads%2f2015%2f10%2fsasakiakisifukunogazou010.jpg&p=DevEx,5008.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=R_INigvExQHaxTfOEcGs_-VQWzbRDY5oAf4qKH5rVFw&v=1&r=http%3a%2f%2feronetachannel.info%2fwp-content%2fuploads%2f2015%2f10%2fsasakiakisifukunogazou004.jpg&p=DevEx,5014.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=wX7epo15sT4YkzRQqatRGk1a2dualvedDoG4st5KtX8&v=1&r=http%3a%2f%2feronetachannel.info%2fwp-content%2fuploads%2f2015%2f10%2fsasakiakisifukunogazou002.jpg&p=DevEx,5020.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=b8myTInzRB9HaDGeYQQ7nPGCf_qd_4vlMegy_7mE5eY&v=1&r=http%3a%2f%2feronetachannel.info%2fwp-content%2fuploads%2f2015%2f10%2fsasakiakisifukunogazou005.jpg&p=DevEx,5026.1"
"https://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=f9NJ8Gdum9lizODtzlg1nS1DFPcEv8ubDJGkIYR_o1I&v=1&r=https%3a%2f%2fs-media-cache-ak0.pinimg.com%2f736x%2fb9%2f1a%2fe9%2fb91ae9f4825d6500f70cbb99f42491b1.jpg&p=DevEx,5032.1"
"https://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=SJPCDXBzNGPywhV8q7yHenfc1NWtKwrFWE2-JnOSWNs&v=1&r=https%3a%2f%2fpbs.twimg.com%2fmedia%2fCYKjzpaUQAAaSuX.jpg&p=DevEx,5038.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=f3pNHVrjLz_6D5Evf7iKQW9SB9UZ9TraN12XmF-QyjM&v=1&r=http%3a%2f%2fblog-imgs-87.fc2.com%2fs%2fu%2fm%2fsumomochannel%2fsasaki_aki_4754-002.jpg&p=DevEx,5044.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=g-p7wlz-Yzc4VwvJN4EFmYKqXmFl0wsCIckm0ozhSk8&v=1&r=http%3a%2f%2feronetachannel.info%2fwp-content%2fuploads%2f2015%2f10%2fsasakiakisifukunogazou008.jpg&p=DevEx,5050.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=ug7KebQa8eJMQR0GEDSuUub92WiCn2fBzyFiqMgyFFI&v=1&r=http%3a%2f%2feronetachannel.info%2fwp-content%2fuploads%2f2015%2f10%2fsasakiakisifukunogazou003.jpg&p=DevEx,5056.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=HzjXVuLxuGND9YRFSd4sggnTZ30aNOTsBBawtwIWYf4&v=1&r=http%3a%2f%2feronetachannel.info%2fwp-content%2fuploads%2f2015%2f10%2fsasakiakisifukunogazou011.jpg&p=DevEx,5062.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=q264y3hcODhTVP9kHoctSWcYHqrFMI4FFJf5rmV7TZA&v=1&r=http%3a%2f%2fblog-imgs-82.fc2.com%2fs%2fu%2fm%2fsumomochannel%2fsasaki_aki_4158-012.jpg&p=DevEx,5068.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=0fIwv92X2qFVaNiVNZzWa84MoAyVZDJPkVaxmOyUI5g&v=1&r=http%3a%2f%2fwww.dynamic-movie.com%2fmovie%2fimg%2factor%2fsasaki_aki.jpg&p=DevEx,5074.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=Zrw_ns-xuJ43n--9-rg7K7PCHdTtuY9n7Tp-5ZupPuA&v=1&r=http%3a%2f%2feronetachannel.info%2fwp-content%2fuploads%2f2015%2f10%2fsasakiakisifukunogazou012-520x693.jpg&p=DevEx,5080.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=P6XSXAxlHlXPJwgwjojqzoitgmpcetmkHp_SVAWnW9k&v=1&r=http%3a%2f%2fwww.premium-beauty.com%2fimages%2factress%2fsasaki_aki%2fsasaki_aki_m.jpg&p=DevEx,5086.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=MTJLCT_eBeHS0h9bXw7iuAyhhfOZvmmfbul9XelXy-o&v=1&r=http%3a%2f%2feronetachannel.info%2fwp-content%2fuploads%2f2015%2f10%2fsasakiakisifukunogazou014.jpg&p=DevEx,5092.1"
"https://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=6AxOLmzHMuz6FCwl1ZDQWfOOBJl7UKuPFBiCn4E6DQQ&v=1&r=https%3a%2f%2fpbs.twimg.com%2fmedia%2fCY0J7SpUoAAu8K_.jpg&p=DevEx,5098.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=8h-zahLsFGlUX5KEj0GuTLEKim5lrMO0LeyRqlf73Xk&v=1&r=http%3a%2f%2feronetachannel.info%2fwp-content%2fuploads%2f2015%2f10%2fsasakiakisifukunogazou006.jpg&p=DevEx,5104.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=jetFzBbJt-E5s9tUpwF_jqWfu-_qpAWW5cbVwr8ZAhk&v=1&r=http%3a%2f%2fww4.sinaimg.cn%2fmw690%2f0061EbFOjw9f21zcvgf8oj30go0m8tbf.jpg&p=DevEx,5110.1"
"https://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=1NJtFiUsYbpSE5YFQ3o9zIN1F2O6QNj20fortm-pyAE&v=1&r=https%3a%2f%2ftry-x.jp%2fupload%2fsave_image%2fcl-623.jpg&p=DevEx,5116.1"
"https://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=pte5t43P7E9h283B4KZebdAWhASQIFbMDeXxvomEMQg&v=1&r=https%3a%2f%2fpbs.twimg.com%2fmedia%2fCR1IwMfU8AAVSWV.jpg&p=DevEx,5122.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=F_fUeXUpz46b6PhrChE89yUU6admlEYExGi16fgLL2o&v=1&r=http%3a%2f%2fblog-imgs-82.fc2.com%2fs%2fu%2fm%2fsumomochannel%2fsasaki_aki_4158-058.jpg&p=DevEx,5128.1"
"https://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=ao2md46KpXjT0Npv16gUuO53gZY3m-x0jIuRIHdODMk&v=1&r=https%3a%2f%2fpbs.twimg.com%2fmedia%2fCSsXREtU8AA_2c9.jpg%3alarge&p=DevEx,5134.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=SxBeNuUt2U7dBN3JiPKcRluE1BQdcbvFv52QrdaaT_U&v=1&r=http%3a%2f%2fpinkline.dreamhosters.com%2fimg%2f1592%2fsasaki_aki-1592-009.jpg&p=DevEx,5140.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=J--X3vmr32ojKU1irC2eSpAdPQqb0WYAV2bFZWuJEFw&v=1&r=http%3a%2f%2fblog-imgs-82.fc2.com%2fs%2fu%2fm%2fsumomochannel%2fsasaki_aki_4158-038.jpg&p=DevEx,5146.1"
"http://www.bing.com/cr?IG=78665500A2184B0CB508D726BA23C513&CID=31AD0B6D8A216CA8011D01258B106DD2&rd=1&h=-ZbpMgeWvYIMrG6gn1Q0DT-CvY2BxZhJda6EYIO0T2o&v=1&r=http%3a%2f%2fvip.video76000-thumbnail.fc2.com%2fup%2fpic%2f201511%2f30%2fv%2f5%2f20151130pNtTu0v5.jpg&p=DevEx,5152.1"
